NU_ANO_CENSO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_LOCALIZACAO_DIFERENCIADA,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,TP_SITUACAO_FUNCIONAMENTO,Latitude,Longitude
2023,Ceará,CE,23,Aracati,2301109,EEF EDMAR SENA,23123931,3,2,0,CABREIRO-ARACATI-CEARA,16,ZONA RURAL,62800000,1,-46140507,-378427535
2023,Ceará,CE,23,Aracati,2301109,EEF JOAO MACIEL DE SANTANA,23123958,3,2,0,SITIO PEDRA REDONDA,S/N,ZONA RURAL,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF ADOLFO CAMINHA,23123974,3,1,0,RUA B,S/N,ALTO DA CHEIA,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF PROFª VILANI PEREIRA,23123990,3,2,3,CORREGO DAS UBARANAS II,S/N,,62800000,1,-60436519,-384607363
2023,Ceará,CE,23,Aracati,2301109,CEI PROFª ANGELA CLOTILDE DE SOUSA,23124008,3,1,0,AVENIDA ABERLARDO GURGEL COSTA LIMA,1328,VARZEA DA MATRIZ,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF JOSE ROCHA GUIMARAES,23124024,3,2,0,BAIXIO,S/N,ZONA RURAL,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF LOURENCO FERREIRA FILHO,23124032,3,2,0,LAGOA DOS FERREIRAS,S/N,,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF ANTONIETA CALS,23124075,3,2,0,RUA DR. JESAMAR,S/N,MAJORLANDIA,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF APOLINARIO JOAQUIM MONTEIRO,23124083,3,2,0,CORREGO DO RETIRO,S/N,RURAL,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,COLEGIO MUNICIPAL DE ARACATI,23124113,3,1,0,RUA DUQUE DE CAXIAS,S/N,VARZEA DA MATRIZ,62800000,1,-45612094,-377688612
2023,Ceará,CE,23,Aracati,2301109,EEMTI BARAO DE ARACATI,23124121,2,1,0,PCA DOS PRAZERES,82,CENTRO,62800000,1,-45681673,-377728564
2023,Ceará,CE,23,Aracati,2301109,EEF JOSE DE SOUZA,23124164,3,2,0,LAGOA DO PREA,S/N,ZONA RURAL,62800000,1,-45401566,-379021954
2023,Ceará,CE,23,Aracati,2301109,EEM BENI CARVALHO,23124172,2,1,0,RUA BENI CARVALHO,1679,N SR DE LOURDES,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF WALDOMIRO AFONSO LIMA,23124180,3,2,0,BOCA DO FORNO,S/N,,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF DOMINGOS COSTA TEOBALDO,23124199,3,2,0,SANTA TEREZA,SN,CENTRO,62800000,1,-46069538,-378795089
2023,Ceará,CE,23,Aracati,2301109,EEF VIRGINIA RODRIGUES UCHOA,23124210,3,2,0,VILA DA VOLTA,SN,ZONA RURAL,62800000,1,-45401856,-377888147
2023,Ceará,CE,23,Aracati,2301109,EEF FRANCISCO AMARAL LIMA,23124229,3,2,0,CACIMBA FUNDA,,,62800000,1,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF ESTEVAO PEREIRA DA SILVA,23124296,3,2,0,VILA DO ESTEVAO,S/N,,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF FRANCISCO FERNANDES FILHO,23124300,3,2,0,CORREGO DOS FERNANDES,S/N,ZONA RURAL,62800000,1,-45789878,-378755572
2023,Ceará,CE,23,Aracati,2301109,EEF PROFESSOR CARLOS PEIXOTO,23124318,3,2,0,CANTINHO DE CIMA,S/N,,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF MANUEL PEREIRA ANTONIO,23124326,3,2,0,TABULEIRO DO CABREIRO,S/N,,62800000,2,-54983977,-393206241
2023,Ceará,CE,23,Aracati,2301109,EEF FRANCISCO NOGUEIRA CAVALCANTE,23124350,3,2,0,JOSE SABINO FILHO,S/N,ZONA RURAL,62800000,1,-47009653,-377809283
2023,Ceará,CE,23,Aracati,2301109,EEF FRANCISCO SABOIA BARBOSA,23124369,3,1,0,RUA DUQUE DE CAXIAS,1990,CENTRO,62800000,1,-54983977,-393206241
